Index,TagID_Hex,PRI,TagID_Dec,tank
346,30EA,5,12522,33
348,3114,5,12564,33
352,3126,5,12582,33
353,312C,5,12588,33
354,312E,5,12590,33
355,3132,5,12594,33
358,313A,5,12602,33
363,314E,5,12622,33
366,315C,5,12636,33
368,3164,5,12644,33
370,316E,5,12654,33
372,3174,5,12660,33
375,3196,5,12694,33
376,319A,5,12698,33
378,31A4,5,12708,33
379,31A6,5,12710,33
382,31B2,5,12722,33
384,31BA,5,12730,33
388,31D6,5,12758,33
392,3212,5,12818,33
393,3214,5,12820,33
400,322C,5,12844,33
401,322E,5,12846,33
403,3236,5,12854,33
413,3264,5,12900,33
417,3272,5,12914,33
419,327A,5,12922,33
420,3286,5,12934,33
425,329C,5,12956,33
426,329E,5,12958,33
431,32BE,5,12990,33
434,32C8,5,13000,33
436,32CE,5,13006,33
441,32E4,5,13028,33
445,32F2,5,13042,33
448,32FA,5,13050,33
450,3314,5,13076,33
451,3316,5,13078,33
454,3326,5,13094,33
459,3334,5,13108,33
460,3336,5,13110,33
467,3364,5,13156,33
469,336C,5,13164,33
475,339A,5,13210,33
477,33A6,5,13222,33
478,33A8,5,13224,33
480,33AE,5,13230,33
481,33B4,5,13236,33
487,33D6,5,13270,33
489,33EA,5,13290,33
494,3422,5,13346,33
495,3424,5,13348,33
498,342C,5,13356,33
502,343A,5,13370,33
503,3442,5,13378,33
512,3468,5,13416,33
516,3476,5,13430,33
517,347A,5,13434,33
521,348E,5,13454,33
523,3498,5,13464,33
525,349E,5,13470,33
526,34B0,5,13488,33
527,34C2,5,13506,33
529,34C6,5,13510,33
534,34E2,5,13538,33
541,34F4,5,13556,33
542,34F6,5,13558,33
543,34FA,5,13562,33
545,3504,5,13572,33
546,3506,5,13574,33
547,3508,5,13576,33
548,350C,5,13580,33
549,3510,5,13584,33
550,3518,5,13592,33
554,3538,5,13624,33
558,3570,5,13680,33
559,3584,5,13700,33
560,3586,5,13702,33
561,3588,5,13704,33
562,358C,5,13708,33
563,3590,5,13712,33
565,359C,5,13724,33
569,35B8,5,13752,33
570,35BC,5,13756,33
571,35BE,5,13758,33
573,35C4,5,13764,33
575,35C8,5,13768,33
580,35DE,5,13790,33
589,35FA,5,13818,33
596,3624,5,13860,33
599,3636,5,13878,33
601,3642,5,13890,33
602,3644,5,13892,33
604,3650,5,13904,33
606,3664,5,13924,33
607,3666,5,13926,33
608,3668,5,13928,33
609,366C,5,13932,33
610,3672,5,13938,33
611,3682,5,13954,33
616,368E,5,13966,33
617,3690,5,13968,33
