TagID_Hex,PRI,Weight,blah1,blah2
3520,5.00,0.30,,
3530,5.00,0.30,,
3538,5.00,0.30,,
353C,5.00,0.30,,
353E,5.00,0.30,,
3540,5.00,0.30,,
3560,5.00,0.30,,
3570,5.00,0.30,,
3578,5.00,0.30,,
357C,5.00,0.30,,
357E,5.00,0.30,,
3582,5.00,0.30,,
3584,5.00,0.30,,
3586,5.00,0.30,,
3588,5.00,0.30,,
358C,5.00,0.30,,
3590,5.00,0.30,,
3598,5.00,0.30,,
359C,5.00,0.30,,
359E,5.00,0.30,,
35A0,5.00,0.30,,
35B0,5.00,0.30,,
35B8,5.00,0.30,,
35BC,5.00,0.30,,
35BE,5.00,0.30,,
35C2,5.00,0.30,,
35C4,5.00,0.30,,
35C6,5.00,0.30,,
35C8,5.00,0.30,,
35CC,5.00,0.30,,
35CE,5.00,0.30,,
35D0,5.00,0.30,,
35D8,5.00,0.30,,
35DC,5.00,0.30,,
35DE,5.00,0.30,,
35E2,5.00,0.30,,
35E4,5.00,0.30,,
35E8,5.00,0.30,,
35EC,5.00,0.30,,
35EE,5.00,0.30,,
35F2,5.00,0.30,,
35F4,5.00,0.30,,
35F6,5.00,0.30,,
35FA,5.00,0.30,,
360A,5.00,0.30,,
3612,5.00,0.30,,
3614,5.00,0.30,,
3616,5.00,0.30,,
361A,5.00,0.30,,
3622,5.00,0.30,,
3624,5.00,0.30,,
3628,5.00,0.30,,
362C,5.00,0.30,,
362E,5.00,0.30,,
3634,5.00,0.30,,
3636,5.00,0.30,,
363A,5.00,0.30,,
3642,5.00,0.30,,
3644,5.00,0.30,,
3646,5.00,0.30,,
3648,5.00,0.30,,
364C,5.00,0.30,,
3650,5.00,0.30,,
3658,5.00,0.30,,
365C,5.00,0.30,,
365E,5.00,0.30,,
3662,5.00,0.30,,
3664,5.00,0.30,,
3666,5.00,0.30,,
3668,5.00,0.30,,
366C,5.00,0.30,,
3672,5.00,0.30,,
367A,5.00,0.30,,
3682,5.00,0.30,,
3684,5.00,0.30,,
3686,5.00,0.30,,
3688,5.00,0.30,,
368C,5.00,0.30,,
368E,5.00,0.30,,
3690,5.00,0.30,,
3698,5.00,0.30,,
369C,5.00,0.30,,
369E,5.00,0.30,,
36A0,5.00,0.30,,
36B0,5.00,0.30,,
36B8,5.00,0.30,,
36BC,5.00,0.30,,
36BE,5.00,0.30,,
36C2,5.00,0.30,,
36C4,5.00,0.30,,
36C6,5.00,0.30,,
36C8,5.00,0.30,,
36CC,5.00,0.30,,
36D0,5.00,0.30,,
36D8,5.00,0.30,,
36DA,5.00,0.30,,
36DC,5.00,0.30,,
36DE,5.00,0.30,,
36E2,5.00,0.30,,
36E4,5.00,0.30,,
36E6,5.00,0.30,,
36E8,5.00,0.30,,
36EC,5.00,0.30,,
36F2,5.00,0.30,,
36F4,5.00,0.30,,
36F6,5.00,0.30,,
370A,5.00,0.30,,
3712,5.00,0.30,,
3714,5.00,0.30,,
371A,5.00,0.30,,
3722,5.00,0.30,,
3724,5.00,0.30,,
3726,5.00,0.30,,
3728,5.00,0.30,,
372C,5.00,0.30,,
372E,5.00,0.30,,
3732,5.00,0.30,,
3734,5.00,0.30,,
3736,5.00,0.30,,
373A,5.00,0.30,,
3742,5.00,0.30,,
3744,5.00,0.30,,
3746,5.00,0.30,,
3748,5.00,0.30,,
374C,5.00,0.30,,
374E,5.00,0.30,,
3750,5.00,0.30,,
3758,5.00,0.30,,
375C,5.00,0.30,,
375E,5.00,0.30,,
3762,5.00,0.30,,
3764,5.00,0.30,,
3766,5.00,0.30,,
3768,5.00,0.30,,
376C,5.00,0.30,,
376E,5.00,0.30,,
3772,5.00,0.30,,
3774,5.00,0.30,,
3776,5.00,0.30,,
377A,5.00,0.30,,
3792,5.00,0.30,,
3794,5.00,0.30,,
3796,5.00,0.30,,
379A,5.00,0.30,,
37A2,5.00,0.30,,
37A4,5.00,0.30,,
37A6,5.00,0.30,,
37A8,5.00,0.30,,
37AC,5.00,0.30,,
37AE,5.00,0.30,,
37B2,5.00,0.30,,
37B4,5.00,0.30,,
37B6,5.00,0.30,,
37BA,5.00,0.30,,
37CA,5.00,0.30,,
37D2,5.00,0.30,,
37D4,5.00,0.30,,
37D6,5.00,0.30,,
37DA,5.00,0.30,,
37EA,5.00,0.30,,
382A,5.00,0.30,,
384A,5.00,0.30,,
3852,5.00,0.30,,
3854,5.00,0.30,,
3856,5.00,0.30,,
385A,5.00,0.30,,
386A,5.00,0.30,,
388A,5.00,0.30,,
3892,5.00,0.30,,
38A2,5.00,0.30,,
38A6,5.00,0.30,,
38CA,5.00,0.30,,
38DA,5.00,0.30,,
38EC,5.00,0.30,,
3922,5.00,0.30,,
398A,5.00,0.30,,
3992,5.00,0.30,,
39DA,5.00,0.30,,
3A14,5.00,0.30,,
3A4C,5.00,0.30,,
3A98,5.00,0.30,,
3AA0,5.00,0.30,,
