Index,TagID,PRI,TagID_Dec
557,C92C,5,-14036
558,C92D,5,-14035
559,C92E,5,-14034
560,C932,5,-14030
561,C934,5,-14028
562,C936,5,-14026
563,C942,5,-14014
564,C945,5,-14011
565,C948,5,-14008
566,C94B,5,-14005
567,C94C,5,-14004
568,C94D,5,-14003
569,C94E,5,-14002
570,C953,5,-13997
571,C957,5,-13993
572,C959,5,-13991
573,C95B,5,-13989
574,C95C,5,-13988
575,C95D,5,-13987
576,C95E,5,-13986
577,C964,5,-13980
578,C965,5,-13979
579,C966,5,-13978
580,C968,5,-13976
581,C969,5,-13975
582,C96A,5,-13974
583,C96B,5,-13973
584,C96C,5,-13972
585,C96D,5,-13971
586,C96E,5,-13970
587,C972,5,-13966
588,C974,5,-13964
589,C975,5,-13963
590,C976,5,-13962
591,C97A,5,-13958
592,C98A,5,-13942
593,C994,5,-13932
594,C995,5,-13931
595,C996,5,-13930
596,C99A,5,-13926
597,C9A2,5,-13918
598,C9A4,5,-13916
599,C9A5,5,-13915
600,C9A6,5,-13914
601,C9A8,5,-13912
602,C9A9,5,-13911
603,C9AB,5,-13909
604,C9AC,5,-13908
605,C9AD,5,-13907
606,C9AE,5,-13906
607,C9B2,5,-13902
608,C9B4,5,-13900
609,C9B5,5,-13899
610,C9BA,5,-13894
611,C9CA,5,-13878
612,C9D2,5,-13870
613,C9D4,5,-13868
614,C9D5,5,-13867
615,C9D6,5,-13866
616,C9DA,5,-13862
617,CA0A,5,-13814
618,CA12,5,-13806
619,CA14,5,-13804
620,CA16,5,-13802
621,CA1A,5,-13798
622,CA22,5,-13790
623,CA24,5,-13788
624,CA25,5,-13787
625,CA26,5,-13786
626,CA28,5,-13784
627,CA29,5,-13783
628,CA2B,5,-13781
629,CA2D,5,-13779
630,CA2E,5,-13778
631,CA32,5,-13774
632,CA34,5,-13772
633,CA35,5,-13771
634,CA36,5,-13770
635,CA3A,5,-13766
636,CA42,5,-13758
637,CA44,5,-13756
638,CA45,5,-13755
639,CA46,5,-13754
640,CA48,5,-13752
641,CA4B,5,-13749
642,CA4C,5,-13748
643,CA4D,5,-13747
644,CA4E,5,-13746
645,CA50,5,-13744
646,CA51,5,-13743
647,CA53,5,-13741
648,CA56,5,-13738
649,CA57,5,-13737
650,CA58,5,-13736
651,CA59,5,-13735
652,CA5B,5,-13733
653,CA5C,5,-13732
654,CA5D,5,-13731
655,CA62,5,-13726
656,CA64,5,-13724
657,CA69,5,-13719
658,CA6C,5,-13716
659,CA72,5,-13710
660,CA75,5,-13707
661,CA76,5,-13706
662,CA7A,5,-13702
663,CA82,5,-13694
664,CA84,5,-13692
665,CA86,5,-13690
666,CA89,5,-13687
667,CA8B,5,-13685
668,CA8C,5,-13684
669,CA8E,5,-13682
670,CA90,5,-13680
671,CA91,5,-13679
672,CA97,5,-13673
673,CA98,5,-13672
674,CA99,5,-13671
675,CA9C,5,-13668
676,CA9D,5,-13667
677,CA9E,5,-13666
678,CAA0,5,-13664
679,CAA1,5,-13663
680,CAA3,5,-13661
681,CAA7,5,-13657
682,CAAE,5,-13650
683,CAAF,5,-13649
684,CAB0,5,-13648
685,CAB1,5,-13647
686,CAB3,5,-13645
688,CAB8,5,-13640
689,CABB,5,-13637
690,CABC,5,-13636
691,CABE,5,-13634
692,CAC4,5,-13628
693,CAC5,5,-13627
694,CAC6,5,-13626
695,CAC8,5,-13624
696,CAC9,5,-13623
697,CACB,5,-13621
698,CACC,5,-13620
699,CACD,5,-13619
700,CACE,5,-13618
701,CAD1,5,-13615
702,CAD3,5,-13613
703,CAD7,5,-13609
704,CAD8,5,-13608
705,CADB,5,-13605
706,CADC,5,-13604
707,CADD,5,-13603
708,CAE2,5,-13598
709,CAE4,5,-13596
710,CAE5,5,-13595
711,CAE6,5,-13594
712,CAE8,5,-13592
713,CAE9,5,-13591
714,CAEB,5,-13589
715,CAEC,5,-13588
716,CAED,5,-13587
717,CAEE,5,-13586
718,CAF2,5,-13582
719,CAF4,5,-13580
720,CAF5,5,-13579
721,CAF6,5,-13578
722,CAFA,5,-13574
723,CB0A,5,-13558
724,CB12,5,-13550
725,CB14,5,-13548
726,CB16,5,-13546
727,CB1A,5,-13542
728,CB24,5,-13532
729,CB25,5,-13531
730,CB26,5,-13530
731,CB28,5,-13528
732,CB29,5,-13527
733,CB2B,5,-13525
734,CB2C,5,-13524
735,CB2D,5,-13523
736,CB2E,5,-13522
737,CB32,5,-13518
738,CB36,5,-13514
739,CB3A,5,-13510
740,CB44,5,-13500
741,CB45,5,-13499
742,CB46,5,-13498
743,CB48,5,-13496
744,CB49,5,-13495
745,CB4B,5,-13493
746,CB4E,5,-13490
747,CB51,5,-13487
748,CB53,5,-13485
749,CB56,5,-13482
750,CB57,5,-13481
751,CB58,5,-13480
752,CB59,5,-13479
753,CB5B,5,-13477
754,CB5C,5,-13476
755,CB5D,5,-13475
756,CB5E,5,-13474
757,CB62,5,-13470
758,CB64,5,-13468
759,CB66,5,-13466
760,CB68,5,-13464
761,CB69,5,-13463
762,CB6A,5,-13462
763,CB6B,5,-13461
764,CB6C,5,-13460
765,CB6D,5,-13459
766,CB6E,5,-13458
767,CB72,5,-13454
768,CB74,5,-13452
769,CB75,5,-13451
770,CB76,5,-13450
771,CB7A,5,-13446
772,CB8A,5,-13430
773,CB92,5,-13422
774,CB94,5,-13420
775,CB95,5,-13419
776,CB96,5,-13418
777,CBA2,5,-13406
778,CBA4,5,-13404
779,CBA5,5,-13403
780,CBA6,5,-13402
781,CBA8,5,-13400
782,CBA9,5,-13399
783,CBAB,5,-13397
784,CBAC,5,-13396
